kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stream_fma_v6_variant3a.1.sm_70.ptx 255 : 65536 821504 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 254 : 65536 754688 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 302 : 8388608 91502880 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 243 : 65536 947584 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 370 : 65536 614048 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 299 : 8454144 74863904 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 240 : 131072 392192 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 367 : 65536 597888 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 239 : 131072 786432 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 297 : 65536 6330976 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 238 : 131072 870912 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 365 : 8388608 59197504 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 296 : 65536 37581280 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 237 : 131072 1226112 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 364 : 8388608 76921696 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 288 : 65536 806912 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 295 : 65536 752512 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 236 : 131072 1729280 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 363 : 8388608 84034432 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 294 : 65536 743168 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 235 : 131072 1703936 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 362 : 8388608 83972064 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 293 : 65536 529152 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 234 : 131072 1703936 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 361 : 8388608 84058368 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 292 : 65536 404864 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 233 : 131072 1703936 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 360 : 8454144 387520 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 291 : 65536 508544 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 232 : 131072 1702400 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 359 : 8454144 56132544 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 303 : 8388608 108862208 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 244 : 65536 659584 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 371 : 65536 468640 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 290 : 65536 676864 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 231 : 131072 4204928 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 289 : 65536 535936 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 245 : 65536 536704 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 246 : 65536 517248 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 247 : 65536 448768 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 248 : 65536 481024 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 249 : 65536 758400 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 250 : 65536 719872 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 251 : 65536 738816 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 252 : 65536 1251840 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 253 : 65536 746240 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 277 : 65536 5158080 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 278 : 65536 4420512 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 279 : 65536 4267904 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 280 : 65536 241405376 786432 0 0 24576 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 281 : 65536 3214016 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 304 : 8388608 85346176 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 282 : 65536 2949216 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 305 : 8388608 69405280 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 283 : 65536 2689696 0 0 0 0 0 0 0 
