kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stream_fma_v6_variant3.1.sm_70.ptx 256 : 65536 336112864 786432 0 0 24576 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 255 : 65536 755744 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 254 : 65536 759392 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 243 : 65536 467744 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 370 : 65536 615584 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 299 : 8454144 84197280 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 240 : 131072 375904 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 367 : 65536 597792 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 239 : 131072 812608 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 297 : 65536 852928 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 238 : 131072 882880 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 365 : 8388608 63610368 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 296 : 65536 27701824 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 237 : 131072 1252704 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 364 : 8388608 77735936 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 288 : 65536 689248 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 295 : 65536 768224 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 236 : 131072 1745504 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 363 : 8388608 83887392 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 294 : 65536 720768 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 235 : 131072 1701280 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 362 : 8388608 83887680 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 293 : 65536 493024 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 234 : 131072 1704224 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 361 : 8388608 83889568 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 292 : 65536 414656 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 233 : 131072 1753792 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 360 : 8454144 375936 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 291 : 65536 484896 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 232 : 131072 1963040 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 359 : 8454144 53850912 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 244 : 65536 670464 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 371 : 65536 467744 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 290 : 65536 717216 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 231 : 131072 3340000 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 289 : 65536 528864 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 245 : 65536 1012416 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 246 : 65536 560832 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 247 : 65536 450048 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 248 : 65536 462432 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 249 : 65536 825856 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 250 : 65536 717024 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 251 : 65536 753664 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 252 : 65536 1070528 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 253 : 65536 742240 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 300 : 8454144 378560 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 301 : 8388608 86974176 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 302 : 8388608 86651104 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 303 : 8388608 94081888 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 304 : 8388608 80225440 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 281 : 65536 1974944 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 282 : 65536 2352640 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 305 : 8388608 65219392 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 283 : 65536 2395904 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 284 : 65536 151554880 786432 0 0 24576 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 285 : 65536 2413632 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 307 : 65536 599520 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 308 : 65536 594368 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 309 : 65536 264128 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 310 : 65536 610400 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 311 : 65536 472128 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 312 : 65536 484992 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 314 : 8454144 53670592 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 315 : 8454144 377984 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 316 : 8388608 83893120 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 317 : 8388608 83889568 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 318 : 8388608 83887296 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 319 : 8388608 77544864 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 320 : 8388608 62788896 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 322 : 65536 598240 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 323 : 65536 592352 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 324 : 65536 263520 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 325 : 65536 613728 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 326 : 65536 467040 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 327 : 65536 477760 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 329 : 8454144 53726656 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 330 : 8454144 377216 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 331 : 8388608 83889728 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 332 : 8388608 83888064 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 333 : 8388608 83886816 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 334 : 8388608 77537984 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 335 : 8388608 63190880 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 337 : 65536 598048 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 338 : 65536 592448 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 339 : 65536 263392 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 340 : 65536 613728 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 341 : 65536 467296 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 342 : 65536 479232 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 344 : 8454144 53802240 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 345 : 8454144 376928 0 0 0 0 0 0 0 
