variant,config,workload,n,compute_iters,memory_iters,queue_depth,cycles,speedup_vs_v3,cta_per_sm,active_occ_pct,eligible_occ_pct,avg_eligible_warps_per_scheduler,avg_dram_bw_util,effective_dram_bw_gbps,pc_coissue_attempts,pc_coissue_success,pc_coissue_success_rate,pc_coissue_fail_scoreboard,pc_coissue_fail_fu_conflict,pc_coissue_fail_lsu_lsu_conflict,pc_coissue_fail_structural_conflict,pc_coissue_fail_dispatch_port,same_warp_dual_issue_fallback,single_issue_fallback,total_issue_count,single_issue_count,dual_issue_count,single_issue_rate,dual_issue_success_rate,verification,log_path
V3,RFQ disabled coissue,H200 RFQ stream-FMA,524288,128,4,32,80183,1.000000,3,37.5000,11.5139,1.8422,0.06473,310.704,0,0,0.000000,0,0,0,0,0,0,14956544,14956544,14956544,0,1.000000,0.000000,PASS,reference_log_not_packaged
V4,RFQ producer-consumer coissue,H200 RFQ stream-FMA,524288,128,4,32,80304,0.998493,3,37.5000,11.5402,1.8464,0.06464,310.272,67196465,7456,0.000111,2992997,426397,143305,0,63769615,0,14941632,14949088,14941632,7456,0.999501,0.000499,PASS,reference_log_not_packaged
