run_id,variant,kernel_name,config_name,n,compute_iters,memory_iters,warmup,repeats,correctness,simulated_cycles,ipc,dynamic_instruction_count,warp_instruction_count,issued_cta,total_sms,avg_issued_cta_per_sm,resident_cta_per_sm_limit,threads_per_cta,elements_per_cta,chunks_per_cta,producer_warps_per_cta,consumer_warps_per_cta,shared_buffers,shared_bytes,barriers_per_chunk,gpu_occupancy_pct,eligible_warp_occupancy_pct,avg_eligible_warps_per_scheduler,eligible_warp_count,eligible_warp_slot_count,eligible_warp_sample_count,active_warp_occupancy_pct,dram_col_bus_util_reported,effective_dram_bw_gbps,dram_row_bus_util_reported,dram_either_bus_util_reported,l2_bandwidth_gbps,l2_data_port_util,l2_fill_port_util,l2_accesses,l2_misses,l2_miss_rate,l2_reservation_fails,global_read_transactions,global_write_transactions,load_instructions,store_instructions,shared_memory_instructions,shared_memory_bank_conflicts,l1d_bank_conflicts,single_issue_count,same_warp_dual_issue_count,producer_consumer_coissue_count,queue_depth,queue_full_stalls,queue_empty_stalls,log_file
sanity,2,stream_fma_v6_v2_m4_kernel,config_h200_132sm_mshr512,32768,16,4,0,1,PASS,15830,240.6368,3809280,124160,32,132,0.2424,8,256,1024,8,4,4,2,3072,1,12.1317,0.6439,0.1030,139668,21689856,1355616,12.1317,0.020494,98.3712,0.000320,0.020814,65.5774,0.000,0.016,16384,16384,1.0000,0,12288,4096,98304,32768,196608,0,0,124160,0,N/A,N/A,N/A,N/A,sanity_run.log
full,2,stream_fma_v6_v2_m4_kernel,config_h200_132sm_mshr512,1032192,16,4,0,1,PASS,128023,937.2716,119992320,3911040,1008,132,7.6364,8,256,1024,8,4,4,2,3072,1,90.3453,1.0776,0.1724,9112829,845663488,52853968,90.3453,0.079820,383.1360,0.016847,0.094633,255.4216,0.000,0.063,516096,516096,1.0000,361379,387072,129024,3096576,1032192,6193152,0,0,3911040,0,N/A,N/A,N/A,N/A,full_run.log
